                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2443,                 1.6637,                 1.3222,                0.44508,                0.39707,                0.38795,                0.26006,                 1.1804,                 1.2769,                 1.2094,              0.0033296,              0.0033296,              0.0033296
                      2,                 1.2081,                 1.2887,                 1.2902,                0.41229,                0.39525,                0.39365,                 0.2604,                 1.2295,                 1.2669,                 1.2501,              0.0066409,              0.0066409,              0.0066409
                      3,                 1.2901,                 1.4062,                 1.3426,                0.42927,                0.34264,                0.33489,                0.20793,                 1.3625,                 1.5295,                 1.3805,              0.0099303,              0.0099303,              0.0099303
                      4,                 1.3482,                 1.4957,                 1.3818,                0.42679,                0.32624,                0.33165,                0.21311,                 1.3759,                 1.4727,                 1.3785,               0.009901,               0.009901,               0.009901
                      5,                 1.3264,                 1.4338,                 1.3736,                0.48248,                0.37381,                0.40687,                0.26378,                  1.296,                 1.3222,                 1.3332,               0.009901,               0.009901,               0.009901
                      6,                 1.2915,                 1.3783,                 1.3621,                0.48187,                0.37309,                0.38139,                0.25118,                 1.2614,                 1.3366,                 1.3164,               0.009868,               0.009868,               0.009868
                      7,                 1.2712,                 1.3086,                 1.3487,                0.49559,                0.39657,                0.42921,                0.27961,                 1.2656,                  1.234,                 1.2955,               0.009835,               0.009835,               0.009835
                      8,                 1.2544,                 1.2699,                 1.3351,                0.52285,                0.40331,                0.44107,                0.29903,                 1.2139,                  1.155,                 1.2789,               0.009802,               0.009802,               0.009802
                      9,                 1.2301,                  1.233,                 1.3219,                0.53988,                0.43977,                0.47911,                0.31897,                 1.2234,                 1.1325,                 1.2663,               0.009769,               0.009769,               0.009769
                     10,                 1.2305,                 1.1945,                 1.3139,                0.54889,                0.42658,                 0.4737,                0.31654,                 1.2273,                 1.1154,                 1.2608,               0.009736,               0.009736,               0.009736
                     11,                 1.2093,                 1.1556,                 1.3097,                0.54834,                0.43527,                0.48273,                0.33004,                 1.1832,                 1.0648,                 1.2503,               0.009703,               0.009703,               0.009703
                     12,                 1.1955,                 1.1469,                 1.2996,                0.58983,                0.43029,                 0.5097,                0.34702,                 1.1893,                 1.0601,                 1.2546,                0.00967,                0.00967,                0.00967
                     13,                 1.1934,                  1.124,                 1.2975,                0.55057,                0.46126,                0.49639,                0.33294,                 1.1832,                 1.0531,                 1.2383,               0.009637,               0.009637,               0.009637
                     14,                   1.19,                 1.0953,                 1.2891,                0.55084,                0.47747,                0.52258,                0.36193,                 1.1384,                0.99412,                  1.219,               0.009604,               0.009604,               0.009604
                     15,                 1.1758,                 1.0827,                 1.2842,                0.55535,                0.45593,                 0.5103,                0.35617,                 1.1407,                 1.0356,                 1.2129,               0.009571,               0.009571,               0.009571
                     16,                 1.1639,                 1.0522,                 1.2782,                0.58199,                  0.449,                0.51394,                0.35875,                 1.1195,                 0.9804,                 1.2054,               0.009538,               0.009538,               0.009538
                     17,                 1.1565,                 1.0428,                 1.2731,                0.57747,                0.48748,                0.53337,                0.36843,                 1.1327,                0.97699,                  1.209,               0.009505,               0.009505,               0.009505
                     18,                 1.1533,                 1.0369,                 1.2729,                0.59475,                0.45383,                0.51781,                0.36258,                 1.1292,                0.95927,                 1.1974,               0.009472,               0.009472,               0.009472
                     19,                 1.1584,                 1.0153,                 1.2652,                0.57143,                0.46417,                0.51232,                0.35385,                 1.1305,                   0.98,                 1.2072,               0.009439,               0.009439,               0.009439
                     20,                 1.1483,                 1.0044,                 1.2617,                0.59248,                0.49344,                0.54982,                0.38076,                 1.1198,                0.92206,                 1.1952,               0.009406,               0.009406,               0.009406
                     21,                 1.1502,                 1.0017,                 1.2628,                0.60123,                0.46774,                0.54249,                 0.3844,                  1.109,                0.93885,                 1.1861,               0.009373,               0.009373,               0.009373
                     22,                 1.1303,                0.98428,                 1.2541,                0.59521,                0.50121,                0.55304,                0.38706,                 1.1068,                0.91808,                 1.1894,                0.00934,                0.00934,                0.00934
                     23,                 1.1399,                0.97232,                 1.2526,                0.60776,                0.49428,                0.55099,                 0.3841,                 1.1193,                0.91089,                 1.1866,               0.009307,               0.009307,               0.009307
                     24,                 1.1228,                0.96612,                 1.2499,                0.58881,                0.47412,                0.53433,                0.37516,                 1.1062,                0.92018,                 1.1818,               0.009274,               0.009274,               0.009274
                     25,                 1.1202,                0.95323,                 1.2453,                0.61721,                0.49146,                0.56567,                0.39771,                 1.0982,                0.89221,                 1.1769,               0.009241,               0.009241,               0.009241
                     26,                 1.1212,                0.94053,                 1.2373,                 0.6168,                0.48016,                0.55107,                0.38659,                 1.1121,                0.89896,                  1.184,               0.009208,               0.009208,               0.009208
                     27,                 1.1135,                0.93854,                 1.2429,                0.61227,                0.49012,                 0.5554,                0.38824,                  1.107,                0.89615,                  1.182,               0.009175,               0.009175,               0.009175
                     28,                 1.0945,                 0.9257,                 1.2333,                0.59218,                0.49074,                0.54838,                0.38486,                 1.1062,                0.89939,                 1.1812,               0.009142,               0.009142,               0.009142
                     29,                 1.1034,                0.92281,                 1.2328,                0.61899,                0.49182,                0.55111,                0.38954,                 1.1131,                0.87948,                 1.1854,               0.009109,               0.009109,               0.009109
                     30,                 1.1039,                0.90853,                 1.2332,                0.63527,                0.49347,                 0.5666,                0.40204,                 1.0875,                0.86434,                 1.1693,               0.009076,               0.009076,               0.009076
                     31,                 1.0917,                0.90363,                 1.2263,                0.61135,                0.51409,                0.57106,                0.40481,                 1.0814,                0.85492,                 1.1639,               0.009043,               0.009043,               0.009043
                     32,                 1.0947,                0.89207,                 1.2261,                0.62967,                0.50896,                  0.573,                0.40629,                 1.0788,                0.85838,                 1.1636,                0.00901,                0.00901,                0.00901
                     33,                 1.0954,                0.89074,                 1.2255,                0.63012,                0.50555,                0.56903,                0.40212,                 1.0835,                0.83909,                 1.1677,               0.008977,               0.008977,               0.008977
                     34,                 1.0848,                0.88752,                 1.2243,                0.63138,                0.52343,                0.57499,                0.40662,                 1.0916,                0.85408,                  1.172,               0.008944,               0.008944,               0.008944
                     35,                 1.0839,                0.88103,                 1.2249,                 0.6189,                0.52023,                0.57509,                0.40624,                 1.0809,                0.84996,                 1.1709,               0.008911,               0.008911,               0.008911
                     36,                 1.0805,                0.87213,                 1.2209,                0.61412,                0.51891,                0.57376,                0.40878,                 1.0701,                0.84251,                 1.1594,               0.008878,               0.008878,               0.008878
                     37,                 1.0909,                0.87148,                 1.2228,                0.62071,                0.51675,                0.57675,                0.40871,                 1.0784,                0.84565,                 1.1621,               0.008845,               0.008845,               0.008845
                     38,                 1.0859,                0.86473,                 1.2186,                 0.6405,                0.52311,                0.58148,                0.41252,                 1.0731,                0.83425,                 1.1588,               0.008812,               0.008812,               0.008812
                     39,                 1.0662,                0.85661,                  1.212,                0.63159,                0.53159,                 0.5856,                0.41338,                  1.081,                0.82844,                 1.1623,               0.008779,               0.008779,               0.008779
                     40,                 1.0725,                0.85089,                 1.2144,                0.62825,                0.53063,                 0.5873,                0.41312,                  1.085,                0.82484,                 1.1672,               0.008746,               0.008746,               0.008746
                     41,                  1.078,                0.84523,                 1.2133,                0.63445,                0.51614,                 0.5895,                0.41754,                 1.0758,                0.82474,                 1.1577,               0.008713,               0.008713,               0.008713
                     42,                 1.0679,                0.84825,                 1.2092,                0.63217,                 0.5272,                0.59094,                0.42137,                 1.0711,                0.81936,                 1.1603,                0.00868,                0.00868,                0.00868
                     43,                 1.0684,                 0.8372,                 1.2121,                0.62822,                0.52617,                0.58464,                0.41693,                 1.0623,                0.81959,                 1.1551,               0.008647,               0.008647,               0.008647
                     44,                 1.0678,                0.83149,                 1.2109,                0.64856,                0.51959,                0.58876,                0.42013,                 1.0678,                0.81578,                 1.1571,               0.008614,               0.008614,               0.008614
                     45,                 1.0582,                0.82675,                 1.2031,                0.65982,                0.52451,                0.59435,                0.42324,                 1.0663,                0.81454,                 1.1548,               0.008581,               0.008581,               0.008581
                     46,                 1.0684,                0.83038,                 1.2015,                0.63341,                 0.5362,                0.59671,                0.42468,                 1.0643,                0.81156,                 1.1516,               0.008548,               0.008548,               0.008548
                     47,                 1.0493,                0.81613,                 1.1966,                0.66228,                0.51994,                0.59664,                0.42349,                 1.0639,                0.80942,                 1.1519,               0.008515,               0.008515,               0.008515
                     48,                 1.0548,                0.82091,                    1.2,                0.64186,                0.53477,                0.59696,                0.42457,                 1.0662,                0.80686,                 1.1516,               0.008482,               0.008482,               0.008482
                     49,                 1.0622,                 0.8123,                 1.1989,                0.63657,                0.53461,                0.59574,                0.42519,                 1.0617,                0.80126,                 1.1488,               0.008449,               0.008449,               0.008449
                     50,                 1.0462,                0.81121,                 1.1943,                0.64623,                0.54086,                0.59969,                0.42638,                 1.0654,                0.79702,                 1.1514,               0.008416,               0.008416,               0.008416
                     51,                 1.0574,                0.81449,                 1.1968,                0.64446,                0.54948,                0.60463,                0.42899,                 1.0592,                0.79484,                 1.1486,               0.008383,               0.008383,               0.008383
                     52,                 1.0495,                0.79942,                 1.1945,                0.63584,                0.54724,                0.60609,                0.43112,                 1.0578,                0.79024,                 1.1485,                0.00835,                0.00835,                0.00835
                     53,                 1.0506,                0.79822,                 1.1967,                0.64578,                0.54206,                0.60451,                0.43221,                 1.0556,                0.78877,                 1.1475,               0.008317,               0.008317,               0.008317
                     54,                 1.0435,                0.79491,                 1.1931,                0.65612,                0.53425,                0.60495,                0.43242,                 1.0551,                0.78758,                 1.1465,               0.008284,               0.008284,               0.008284
                     55,                 1.0438,                0.79541,                 1.1916,                0.64135,                0.54508,                0.60711,                 0.4339,                 1.0572,                0.78579,                 1.1485,               0.008251,               0.008251,               0.008251
                     56,                 1.0379,                0.79231,                 1.1889,                0.64536,                0.54601,                0.60925,                0.43649,                 1.0532,                0.78437,                 1.1473,               0.008218,               0.008218,               0.008218
                     57,                 1.0422,                0.78587,                 1.1884,                 0.6581,                0.53949,                0.60899,                0.43583,                 1.0578,                0.78253,                 1.1505,               0.008185,               0.008185,               0.008185
                     58,                 1.0377,                0.78149,                 1.1876,                0.66509,                0.53626,                0.61024,                0.43685,                 1.0606,                0.78151,                  1.151,               0.008152,               0.008152,               0.008152
                     59,                  1.033,                0.77876,                 1.1834,                 0.6438,                0.54664,                0.60918,                0.43669,                 1.0598,                0.78058,                 1.1503,               0.008119,               0.008119,               0.008119
                     60,                 1.0339,                0.77782,                 1.1886,                  0.656,                0.53627,                0.60794,                 0.4362,                 1.0574,                0.77929,                 1.1489,               0.008086,               0.008086,               0.008086
                     61,                   1.03,                0.76869,                  1.185,                0.63633,                0.55099,                0.60841,                0.43605,                 1.0575,                0.77985,                 1.1498,               0.008053,               0.008053,               0.008053
                     62,                 1.0279,                 0.7698,                 1.1818,                0.64669,                0.54251,                0.60682,                0.43549,                 1.0579,                0.77998,                 1.1499,                0.00802,                0.00802,                0.00802
                     63,                 1.0264,                0.76481,                 1.1835,                0.64573,                0.54614,                0.60754,                0.43569,                 1.0576,                0.77997,                 1.1509,               0.007987,               0.007987,               0.007987
                     64,                 1.0263,                0.76082,                 1.1784,                0.64913,                0.54322,                 0.6084,                0.43616,                 1.0563,                0.77941,                  1.151,               0.007954,               0.007954,               0.007954
                     65,                 1.0313,                0.75937,                 1.1816,                 0.6468,                0.54423,                0.60749,                0.43518,                  1.058,                0.77964,                 1.1509,               0.007921,               0.007921,               0.007921
                     66,                 1.0235,                0.76119,                 1.1769,                 0.6446,                0.54342,                0.60831,                0.43574,                 1.0579,                0.78079,                 1.1501,               0.007888,               0.007888,               0.007888
                     67,                 1.0241,                0.75205,                 1.1774,                0.64269,                0.54242,                0.60804,                0.43606,                 1.0573,                0.78093,                 1.1499,               0.007855,               0.007855,               0.007855
                     68,                 1.0268,                0.75787,                 1.1769,                0.64341,                0.54216,                0.60905,                 0.4364,                 1.0581,                0.78055,                 1.1508,               0.007822,               0.007822,               0.007822
                     69,                 1.0228,                0.74851,                 1.1745,                0.64935,                0.53944,                0.60898,                0.43613,                 1.0584,                0.77908,                 1.1509,               0.007789,               0.007789,               0.007789
                     70,                 1.0106,                0.74337,                 1.1732,                0.64927,                0.54192,                0.60971,                0.43645,                 1.0571,                0.77737,                 1.1504,               0.007756,               0.007756,               0.007756
                     71,                  1.022,                0.75019,                 1.1784,                0.65237,                0.54059,                 0.6092,                0.43686,                 1.0569,                0.77587,                 1.1493,               0.007723,               0.007723,               0.007723
                     72,                 1.0083,                0.73925,                 1.1697,                0.65999,                0.53587,                0.60979,                0.43736,                 1.0571,                0.77549,                   1.15,                0.00769,                0.00769,                0.00769
                     73,                 1.0094,                0.73468,                 1.1698,                0.66537,                0.53315,                0.61008,                0.43725,                 1.0578,                0.77586,                  1.151,               0.007657,               0.007657,               0.007657
                     74,                 1.0108,                0.73829,                 1.1716,                 0.6644,                0.53188,                0.60932,                 0.4373,                 1.0573,                0.77568,                 1.1518,               0.007624,               0.007624,               0.007624
                     75,                 1.0032,                0.72815,                 1.1707,                0.66298,                0.53366,                 0.6105,                0.43771,                  1.057,                0.77533,                 1.1515,               0.007591,               0.007591,               0.007591
                     76,                 1.0082,                0.73213,                 1.1674,                 0.6648,                0.53689,                0.61219,                0.43819,                 1.0581,                0.77568,                  1.152,               0.007558,               0.007558,               0.007558
                     77,                 1.0027,                0.72495,                 1.1619,                0.66061,                0.53956,                0.61281,                0.43881,                 1.0588,                 0.7744,                 1.1527,               0.007525,               0.007525,               0.007525
                     78,                 1.0164,                 0.7257,                  1.167,                0.65653,                0.54212,                0.61202,                0.43867,                 1.0589,                0.77321,                 1.1528,               0.007492,               0.007492,               0.007492
                     79,                 1.0008,                0.71822,                 1.1618,                0.65587,                 0.5418,                0.61295,                0.43935,                 1.0587,                0.77274,                 1.1526,               0.007459,               0.007459,               0.007459
                     80,                0.99824,                 0.7226,                 1.1623,                0.65976,                0.53939,                0.61303,                0.43924,                 1.0591,                0.77201,                 1.1528,               0.007426,               0.007426,               0.007426
                     81,                0.99781,                0.71549,                 1.1623,                0.66388,                0.53863,                0.61375,                0.44007,                 1.0585,                0.77241,                  1.152,               0.007393,               0.007393,               0.007393
                     82,                0.99099,                 0.7183,                 1.1615,                0.66605,                0.53741,                0.61424,                0.43973,                 1.0577,                0.77195,                 1.1512,                0.00736,                0.00736,                0.00736
                     83,                0.99514,                0.71204,                 1.1609,                0.66841,                0.53687,                0.61419,                0.44038,                 1.0575,                0.77134,                 1.1514,               0.007327,               0.007327,               0.007327
                     84,                0.99489,                0.71034,                 1.1623,                0.66533,                0.53855,                0.61399,                0.44036,                 1.0576,                0.77119,                 1.1515,               0.007294,               0.007294,               0.007294
                     85,                0.99355,                0.71583,                 1.1637,                0.66518,                0.54019,                0.61501,                0.44082,                 1.0582,                0.77093,                 1.1521,               0.007261,               0.007261,               0.007261
                     86,                0.98803,                0.71429,                 1.1615,                0.66684,                0.54006,                 0.6152,                0.44085,                 1.0581,                0.77065,                 1.1521,               0.007228,               0.007228,               0.007228
                     87,                0.99346,                0.70862,                 1.1605,                0.66641,                0.54127,                0.61559,                0.44107,                 1.0578,                 0.7707,                 1.1518,               0.007195,               0.007195,               0.007195
                     88,                0.99797,                 0.7104,                 1.1622,                 0.6598,                0.54404,                0.61583,                0.44109,                 1.0577,                0.77059,                 1.1517,               0.007162,               0.007162,               0.007162
                     89,                0.97794,                0.70217,                 1.1561,                0.65861,                0.54561,                0.61596,                0.44122,                 1.0579,                0.77039,                  1.152,               0.007129,               0.007129,               0.007129
                     90,                0.99757,                 0.7014,                  1.158,                0.66053,                0.54387,                0.61582,                0.44157,                 1.0585,                0.77014,                 1.1526,               0.007096,               0.007096,               0.007096
                     91,                0.98968,                0.69926,                  1.155,                0.65549,                0.54845,                0.61559,                0.44154,                 1.0592,                 0.7701,                 1.1531,               0.007063,               0.007063,               0.007063
                     92,                0.99347,                0.69932,                 1.1556,                0.65829,                0.54736,                0.61639,                 0.4421,                 1.0603,                0.76994,                 1.1538,                0.00703,                0.00703,                0.00703
                     93,                0.98407,                0.69409,                 1.1492,                0.65597,                0.54967,                0.61628,                0.44172,                 1.0609,                0.76951,                 1.1539,               0.006997,               0.006997,               0.006997
                     94,                0.98397,                0.68857,                  1.152,                0.65307,                0.55142,                0.61574,                0.44132,                 1.0612,                0.76925,                 1.1543,               0.006964,               0.006964,               0.006964
                     95,                 0.9735,                0.68973,                 1.1496,                0.65319,                0.55211,                0.61538,                 0.4411,                 1.0616,                0.76935,                 1.1543,               0.006931,               0.006931,               0.006931
                     96,                0.99385,                0.69377,                 1.1513,                0.65655,                0.55142,                0.61548,                0.44108,                  1.062,                0.76931,                 1.1546,               0.006898,               0.006898,               0.006898
                     97,                0.98115,                 0.6885,                 1.1482,                0.65256,                0.55489,                0.61484,                0.44044,                 1.0625,                 0.7687,                 1.1551,               0.006865,               0.006865,               0.006865
                     98,                0.97745,                0.68177,                 1.1444,                0.65429,                0.55441,                0.61471,                0.44078,                  1.063,                0.76851,                 1.1556,               0.006832,               0.006832,               0.006832
                     99,                0.98355,                0.68715,                 1.1515,                 0.6401,                0.56414,                0.61536,                0.44096,                 1.0631,                0.76838,                 1.1558,               0.006799,               0.006799,               0.006799
                    100,                0.98764,                0.68239,                 1.1487,                0.64199,                0.56286,                0.61523,                0.44086,                 1.0633,                0.76817,                  1.156,               0.006766,               0.006766,               0.006766
                    101,                0.96983,                0.67415,                 1.1392,                0.64086,                0.56358,                0.61562,                0.44116,                 1.0637,                0.76839,                 1.1562,               0.006733,               0.006733,               0.006733
                    102,                0.97271,                0.67401,                 1.1419,                0.64219,                0.56323,                 0.6163,                0.44163,                 1.0637,                 0.7682,                 1.1562,                 0.0067,                 0.0067,                 0.0067
                    103,                0.96922,                0.67506,                 1.1424,                  0.646,                0.56816,                0.61646,                0.44145,                 1.0638,                0.76775,                 1.1562,               0.006667,               0.006667,               0.006667
